a52dec 0.8.0-2
mpfr 4.2.1-6
mpg123 1.32.10-1
msgpack-c 6.1.0-2
mtdev 1.1.7-1
mtools 1:4.0.48-1
nano 8.3-1
ncdu 2.7-1
ncurses 6.5-3
neofetch 7.1.0-2
neon 0.34.0-1
neovim 0.10.4-2
nettle 3.10.1-1
networkmanager 1.52.0-1
networkmanager-openvpn 1.12.0-1
networkmanager-qt 6.12.0-1
ninja 1.12.1-2
nordic-theme 2.2.0-1
noto-fonts 1:2025.03.01-1
noto-fonts-emoji 1:2.047-1
npth 1.8-1
nspr 4.36-1
nss 3.109-1
nvidia 570.124.04-4
nvidia-lts 1:570.124.04-3
nvidia-settings 570.124.04-1
nvidia-utils 570.124.04-1
obsidian 1.8.9-2
ocean-sound-theme 6.3.3-1
ocl-icd 2.3.2-2
okular 24.12.3-1
onetbb 2022.0.0-2
oniguruma 6.9.10-1
opencore-amr 0.1.6-2
opencv 4.11.0-5
openexr 3.3.2-1
openjpeg2 2.5.3-1
openmp 19.1.7-1
openssh 9.9p2-1
openssl 3.4.1-1
openvpn 2.6.13-1
openxr 1.1.43-1
optipng 0.7.8-1
opus 1.5.2-1
orc 0.4.41-1
os-prober 1.83-1
osm-gps-map 1.2.0-2
ostree 2025.1-1
otf-font-awesome 6.7.2-1
oxygen 6.3.3-1
oxygen-sounds 6.3.3-1
p11-kit 0.25.5-1
packagekit 1.3.0-2
packagekit-qt5 1.1.2-1
packagekit-qt6 1.1.2-1
pacman 7.0.0.r6.gc685ae6-2
pacman-contrib 1.11.0-1
pacman-mirrorlist 20250311-1
pahole 1:1.29-1
pam 1.7.0-2
pambase 20230918-2
pango 1:1.56.3-1
pangomm 2.46.4-1
parted 3.6-2
patch 2.7.6-10
pciutils 3.13.0-2
pcre 8.45-4
pcre2 10.45-1
pcsclite 2.3.1-1
pdf-compress 1.9.2-1
perl 5.40.1-2
perl-alien-build 2.84-1
perl-alien-libxml2 0.19-4
perl-autovivification 0.18-11
perl-b-hooks-endofscope 0.28-2
perl-business-isbn 3.011-1
perl-business-isbn-data 20250118.001-1
perl-business-ismn 1.204-2
perl-business-issn 1.008-1
perl-capture-tiny 0.50-2
perl-class-accessor 0.51-4
perl-class-data-inheritable 0.10-1
perl-class-inspector 1.36-8
perl-class-load 0.25-4
perl-class-singleton 1.6-3
perl-clone 0.47-1
perl-data-compare 1.29-4
perl-data-dump 1.25-6
perl-data-optlist 0.114-4
perl-data-uniqid 0.12-13
perl-datetime 1.66-1
perl-datetime-calendar-julian 0.107-4
perl-datetime-format-builder 1:0.83-6
perl-datetime-format-strptime 1.79-4
perl-datetime-locale 1.44-1
perl-datetime-timezone 2.63-1
perl-devel-stacktrace 2.05-2
perl-dist-checkconflicts 0.11-11
perl-encode-locale 1.05-13
